sample,group,strain,group_plus_strain
Isolated,Ia,Methylobacter_luteus_IMV-B-3098,Ia_Methylobacter_luteus_IMV-B-3098
Isolated,Ia,Methylobacter_marinus_A45,Ia_Methylobacter_marinus_A45
Isolated,Ia,Methylobacter_sp._BBA5.1,Ia_Methylobacter_sp._BBA5.1
Isolated,Ia,Methylobacter_tundripaludum_31-32,Ia_Methylobacter_tundripaludum_31-32
Isolated,Ia,Methylobacter_tundripaludum_SV96,Ia_Methylobacter_tundripaludum_SV96
Isolated,Ia,Methylobacter_whittenburyi_ACM_3310,Ia_Methylobacter_whittenburyi_ACM_3310
Isolated,Ia,Methylococcaceae_bacterium_Sn10-6,Ia_Methylococcaceae_bacterium_Sn10-6
Isolated,Ia,Methyloglobulus_morosus_KoM1,Ia_Methyloglobulus_morosus_KoM1
Isolated,Ia,Methylomarinum_vadi_IT-4,Ia_Methylomarinum_vadi_IT-4
Isolated,Ia,Methylomicrobium_agile_A30,Ia_Methylomicrobium_agile_A30
Isolated,Ia,Methylomicrobium_album_BG8,Ia_Methylomicrobium_album_BG8
Isolated,Ia,Methylomicrobium_alcaliphilum_20Z,Ia_Methylomicrobium_alcaliphilum_20Z
Isolated,Ia,Methylomicrobium_buryatense_5G,Ia_Methylomicrobium_buryatense_5G
Isolated,Ia,Methylomonas_denitrificans_FJG1,Ia_Methylomonas_denitrificans_FJG1
Isolated,Ia,Methylomonas_koyamae_JCM_16701,Ia_Methylomonas_koyamae_JCM_16701
Isolated,Ia,Methylomonas_lenta_R-45370,Ia_Methylomonas_lenta_R-45370
Isolated,Ia,Methylomonas_methanica_MC09,Ia_Methylomonas_methanica_MC09
Isolated,Ia,Methylomonas_sp._11b,Ia_Methylomonas_sp._11b
Isolated,Ia,Methylomonas_sp._LW13,Ia_Methylomonas_sp._LW13
Isolated,Ia,Methylomonas_sp._MK1,Ia_Methylomonas_sp._MK1
Isolated,Ia,Methylosarcina_fibrata_AML-C10,Ia_Methylosarcina_fibrata_AML-C10
Isolated,Ia,Methylosarcina_lacus_LW14,Ia_Methylosarcina_lacus_LW14
Isolated,Ia,Methylovulum_miyakonense_HT12,Ia_Methylovulum_miyakonense_HT12
Isolated,Ib,Methylocaldum_szegediense_O-12,Ib_Methylocaldum_szegediense_O-12
Isolated,Ib,Methylococcus_capsulatus_Bath,Ib_Methylococcus_capsulatus_Bath
Isolated,Ib,Methylococcus_capsulatus_Texas,Ib_Methylococcus_capsulatus_Texas
Isolated,Ib,Methylogaea_oryzae_E10,Ib_Methylogaea_oryzae_E10
Isolated,Ib,Methylomagnum_ishizawai_175,Ib_Methylomagnum_ishizawai_175
Isolated,Ib,Methyloterricola_oryzae_73a,Ib_Methyloterricola_oryzae_73a
Isolated,Ic,Methylohalobius_crimeensis_10Ki,Ic_Methylohalobius_crimeensis_10Ki
Isolated,IIa,Methylocystis_parvus_OBBP,IIa_Methylocystis_parvus_OBBP
Isolated,IIa,Methylocystis_rosea_SV97,IIa_Methylocystis_rosea_SV97
Isolated,IIa,Methylocystis_sp._ATCC_49242,IIa_Methylocystis_sp._ATCC_49242
Isolated,IIa,Methylocystis_sp._LW5,IIa_Methylocystis_sp._LW5
Isolated,IIa,Methylocystis_sp._SB2,IIa_Methylocystis_sp._SB2
Isolated,IIa,Methylocystis_sp._SC2,IIa_Methylocystis_sp._SC2
Isolated,IIa,Methylosinus_sp._LW3,IIa_Methylosinus_sp._LW3
Isolated,IIa,Methylosinus_sp._LW4,IIa_Methylosinus_sp._LW4
Isolated,IIa,Methylosinus_sp._PW1,IIa_Methylosinus_sp._PW1
Isolated,IIa,Methylosinus_sp._R-45379,IIa_Methylosinus_sp._R-45379
Isolated,IIa,Methylosinus_trichosporium_OB3b,IIa_Methylosinus_trichosporium_OB3b
Isolated,IIb,Methylocapsa_acidiphila_B2,IIb_Methylocapsa_acidiphila_B2
Isolated,IIb,Methylocapsa_aurea_KYG,IIb_Methylocapsa_aurea_KYG
Isolated,IIb,Methylocapsa_palsarum_NE2,IIb_Methylocapsa_palsarum_NE2
Isolated,IIb,Methylocella_silvestris_BL2,IIb_Methylocella_silvestris_BL2
Isolated,IIb,Methyloferula_stellata_AR4,IIb_Methyloferula_stellata_AR4
Isolated,III,Methylacidiphilum_fumariolicum_SolV,III_Methylacidiphilum_fumariolicum_SolV
Isolated,III,Methylacidiphilum_infernorum_V4,III_Methylacidiphilum_infernorum_V4
Isolated,III,Methylacidiphilum_kamchatkense_Kam1,III_Methylacidiphilum_kamchatkense_Kam1
Isolated,NC10,Candidatus_Methylomirabilis_oxyfera,NC10_Candidatus_Methylomirabilis_oxyfera
