Gene ID	product	MB_31_BR1	MB_31_BR2	MIX_31_13_BR1	MIX_31_13_BR2	MIX_31_JLW8_BR1	MIX_31_JLW8_BR2
T449DRAFT_0001	hypothetical protein	133.4117527	158.2784817	150.1463767	115.8272418	137.6159248	110.561463
T449DRAFT_0002	outer membrane cobalamin receptor protein	332.2214235	399.0536267	294.5178928	290.4730048	438.8130431	429.4887601
T449DRAFT_0003	hypothetical protein	995.7922982	1067.660304	925.9026565	817.1249949	976.2941077	1051.396989
T449DRAFT_0004	iojap-like ribosome-associated protein	2206.089767	2216.858008	2603.499673	2392.556463	1925.324683	2348.367997
T449DRAFT_0005	nicotinate-nucleotide adenylyltransferase	1676.802618	1710.366866	1697.809029	1553.713861	1962.974323	1770.046499
T449DRAFT_0006	glutamate-5-semialdehyde dehydrogenase	8345.64631	7961.887263	8910.609973	7718.799785	8127.129141	8058.229706
T449DRAFT_0007	hypothetical protein	8158.172278	6093.241915	9657.49195	8544.973784	2953.549328	5063.502387
T449DRAFT_0008	hypothetical protein	832.7334893	837.4370579	798.8557224	780.9289818	678.9917797	846.2204282
T449DRAFT_0009	"ABC-type uncharacterized transport system, auxiliary component"	1305.342443	1240.327739	1200.208537	1168.226322	987.9784786	1222.554639
T449DRAFT_0010	"ABC-type transport system involved in resistance to organic solvents, periplasmic component"	1988.96868	1923.323369	1934.578316	2065.887445	1952.588215	2313.285995
T449DRAFT_0011	"ABC-type transport system involved in resistance to organic solvents, ATPase component"	1617.508505	1530.025323	1539.000362	1488.561037	1596.864032	1481.94884
T449DRAFT_0012	conserved hypothetical integral membrane protein	2554.006691	2380.892071	2367.692864	2377.173158	2271.961022	2468.497279
T449DRAFT_0013	hypothetical protein	3240.248844	3069.643282	3037.576699	3048.6092	2656.247	3093.594782
T449DRAFT_0014	VanZ like family protein	1231.224803	1269.105644	1171.334234	1181.799826	1143.770092	1387.333742
T449DRAFT_0015	"response regulator with CheY-like receiver, AAA-type ATPase, and DNA-binding domains"	7103.085868	6253.438924	6505.380515	6306.250376	5460.496033	6296.687935
T449DRAFT_0016	histidine kinase	3033.591423	2816.397711	2873.955647	3010.603386	2932.777113	2992.601138
T449DRAFT_0017	hypothetical protein	228.4567269	226.3861921	221.369658	242.5132875	232.3891559	223.249108
T449DRAFT_0018	transposase IS116/IS110/IS902 family	1059.446272	1006.267438	936.489901	951.0502432	998.3645862	967.4128011
T449DRAFT_0019	hypothetical protein	472.6089541	519.9208309	453.3265605	493.170678	546.5689087	540.050223
T449DRAFT_0020	hypothetical protein	1185.882247	1214.427624	1080.861417	1090.404893	1164.542307	1235.311731
T449DRAFT_0021	hypothetical protein	9.591694641	12.47042583	11.54972129	12.66860457	3.894790323	9.567818912
T449DRAFT_0022	hypothetical protein	878.948018	912.2596129	599.6230302	517.6029868	1446.265473	1021.630442
T449DRAFT_0023	hypothetical protein	1205.065636	1067.660304	957.6643901	912.1395292	1051.593387	965.2866191
T449DRAFT_0025	hypothetical protein	690.6020141	759.7367123	639.0845779	664.1968397	738.711898	812.2015165
T449DRAFT_0026	hypothetical protein	732.4566817	727.1217525	584.2234018	661.4821387	695.8692044	692.0722346
T449DRAFT_0027	hypothetical protein	133.4117527	141.9710018	113.5722593	137.5448496	116.8437097	141.3911017
T449DRAFT_0028	hypothetical protein	573.757734	633.1139269	518.7749811	566.4676044	580.3237581	596.3940455
T449DRAFT_0029	hypothetical protein	946.9618527	926.6485658	913.3904585	893.1366223	951.6271023	959.9711642
T449DRAFT_0030	HNH endonuclease	995.7922982	899.7891871	812.3303972	943.8110406	941.2409948	1025.882806
T449DRAFT_0031	hypothetical protein	486.56051	510.3281957	443.7017928	489.5510767	444.0060968	480.5171276
T449DRAFT_0032	hypothetical protein	626.0760684	633.1139269	586.1483553	628.9057269	599.7977098	668.6842329
T449DRAFT_0034	hypothetical protein	5.23183344	8.633371731	1.924953548	1.809800653	3.894790323	6.378545941
T449DRAFT_0035	hypothetical protein	220.6089767	233.1010367	233.8818561	199.9829722	222.0030484	257.2680196
T449DRAFT_0036	hypothetical protein	155.2110587	140.0524747	163.6210516	149.3085539	146.7037688	146.7065567
T449DRAFT_0037	Predicted membrane-bound metal-dependent hydrolase (DUF457)	32.26297288	26.85937872	35.61164064	22.62250816	31.15832259	27.64036575
T449DRAFT_0038	transposase	0	0	0	0	0	0
