Locus_tag	Gene product (predicted)	Batch culture 1	Batch culture 2	standard deviation	Unlimited bioreactor 1	Unlimited bioreactor 2	standard deviation
MBURv2_210045	"Particulate methane monooxygenase, C subunit"	111368	115395	2847.519008	75541	85072	6739.434731
MBURv2_210047	Particulate methane monooxygenase beta subunit	82922	91255	5892.320808	42926	52890	7045.611968
MBURv2_210046	Particulate methane monooxygenase alpha subunit	75553	68778	4790.648443	37349	48305	7747.061895
MBURv2_240078	conserved protein of unknown function	72189	83066	7691.200459	18028	22459	3133.190147
MBURv2_60085	Formaldehyde-activating enzyme	5821	6720	635.6889963	14460	13185	901.561146
MBURv2_210294	Methanol dehydrogenase [cytochrome c] subunit 2	13257	14171	646.295598	14262	12337	1361.180554
MBURv2_160206	conserved exported protein of unknown function	10775	13136	1669.47911	13893	15220	938.3306986
MBURv2_210291	Methanol dehydrogenase [cytochrome c] subunit 1	14706	15352	456.7909806	13113	13888	548.0077554
MBURv2_210049	conserved protein of unknown function	16356	18322	1390.171932	12555	16877	3056.115508
MBURv2_30142	conserved exported protein of unknown function	6685	8899	1565.534414	12278	11191	768.6250711
MBURv2_20471	putative lipoprotein	13261	17663	3112.684051	10208	13667	2445.882356
MBURv2_250064	"stress protein, member of the CspA-family"	6674	8151	1044.396716	9178	10198	721.2489168
MBURv2_210293	Cytochrome c-L	7842	8623	552.2503961	8600	8520	56.56854249
MBURv2_130465	50S ribosomal subunit protein L10	3834	3968	94.75230868	7321	6699	439.8204179
MBURv2_160417	50S ribosomal subunit protein L28	3049	3012	26.1629509	6999	5675	936.2093783
MBURv2_160308	3-hexulose-6-phosphate synthase	6489	7538	741.7550135	6859	6560	211.4249276
MBURv2_160312	3-hexulose-6-phosphate synthase	5898	7482	1120.057141	6858	6552	216.374675
MBURv2_160304	3-hexulose-6-phosphate synthase	6180	7468	910.7535342	6827	6532	208.5965005
MBURv2_210292	Protein MoxJ	7800	7746	38.18376618	6010	7109	777.1103525
MBURv2_50308	acyl carrier protein (ACP)	4862	5390	373.3523805	5920	5349	403.7579721
MBURv2_160418	50S ribosomal subunit protein L33	2455	2904	317.4909448	5677	4758	649.8311319
MBURv2_130464	50S ribosomal subunit protein L7/L12	2925	3328	284.9640328	5561	5688	89.80256121
MBURv2_210246	protein of unknown function	4534	2466	1462.296823	5326	4533	560.7356775
MBURv2_160305	3-hexulose-6-phosphate isomerase	5934	6810	619.4255403	5176	5468	206.4751801
MBURv2_160309	3-hexulose-6-phosphate isomerase	6016	6810	561.4427843	5153	5459	216.374675
