CDS	sample	group	group_uncertain	strain	strain_name_plus_group	BIN	curated_gene	gene_category	gene_category_subunit	Length	GC	qGC	GC3	qGC3	CAI_genome	pCAI_genome	CAI_HiExp	pCAI_HiExp	KO	annotation_auto	EC	reference	tAI	ptAI	ntAI
2517425596	Isolated	Ia	Ia	Methylobacter_luteus_IMV-B-3098	Ia_Methylobacter_luteus_IMV-B-3098	Methylobacter_luteus_IMV-B-3098	pxmC	pxm	pxmC	774	0.481912145	30.37433155	0.565891473	45.4973262	0.699399307	55.29411765	0.495423959	62.54545455	K10946	methane/ammonia monooxygenase subunit C		"Hamilton, R., Kits, K. D., Ramonovskaya, V. A., Rozova, O. N., Yurimoto, H., Iguchi, H., ... & Knief, C. (2015). Draft genomes of gammaproteobacterial methanotrophs isolated from terrestrial ecosystems. Genome announcements, 3(3)."	0.334535424	52.94117647	0.778039435
2517427417	Isolated	Ia	Ia	Methylobacter_luteus_IMV-B-3098	Ia_Methylobacter_luteus_IMV-B-3098	Methylobacter_luteus_IMV-B-3098	pmoC1	pmo/amo	pmoC	753	0.424966799	9.326203209	0.414342629	10.31016043	0.5922076	6.267379679	0.47433294	36.55614973	K10946	methane/ammonia monooxygenase subunit C		"Hamilton, R., Kits, K. D., Ramonovskaya, V. A., Rozova, O. N., Yurimoto, H., Iguchi, H., ... & Knief, C. (2015). Draft genomes of gammaproteobacterial methanotrophs isolated from terrestrial ecosystems. Genome announcements, 3(3)."	0.371885152	95.18716578	0.864904858
2517425594	Isolated	Ia	Ia	Methylobacter_luteus_IMV-B-3098	Ia_Methylobacter_luteus_IMV-B-3098	Methylobacter_luteus_IMV-B-3098	pxmA	pxm	pxmA	753	0.529880478	60.02139037	0.669322709	78.18181818	0.709848477	61.7540107	0.499318072	66.80213904	K10944	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	EC:1.14.18.3	"Hamilton, R., Kits, K. D., Ramonovskaya, V. A., Rozova, O. N., Yurimoto, H., Iguchi, H., ... & Knief, C. (2015). Draft genomes of gammaproteobacterial methanotrophs isolated from terrestrial ecosystems. Genome announcements, 3(3)."	0.337046685	56.79144385	0.783879953
2517427418	Isolated	Ia	Ia	Methylobacter_luteus_IMV-B-3098	Ia_Methylobacter_luteus_IMV-B-3098	Methylobacter_luteus_IMV-B-3098	pmoA1	pmo/amo	pmoA	744	0.442204301	14.26737968	0.435483871	13.11229947	0.559317422	1.903743316	0.447926546	13.47593583	K10944	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	EC:1.14.18.3	"Hamilton, R., Kits, K. D., Ramonovskaya, V. A., Rozova, O. N., Yurimoto, H., Iguchi, H., ... & Knief, C. (2015). Draft genomes of gammaproteobacterial methanotrophs isolated from terrestrial ecosystems. Genome announcements, 3(3)."	0.367343275	92.62032086	0.854341673
2517425595	Isolated	Ia	Ia	Methylobacter_luteus_IMV-B-3098	Ia_Methylobacter_luteus_IMV-B-3098	Methylobacter_luteus_IMV-B-3098	pxmB	pxm	pxmB	1239	0.528652139	59.10160428	0.622276029	63.80748663	0.691859919	50.26737968	0.481235474	45.00534759	K10945	methane/ammonia monooxygenase subunit B		"Hamilton, R., Kits, K. D., Ramonovskaya, V. A., Rozova, O. N., Yurimoto, H., Iguchi, H., ... & Knief, C. (2015). Draft genomes of gammaproteobacterial methanotrophs isolated from terrestrial ecosystems. Genome announcements, 3(3)."	0.350444988	76.70588235	0.815040802
2517427419	Isolated	Ia	Ia	Methylobacter_luteus_IMV-B-3098	Ia_Methylobacter_luteus_IMV-B-3098	Methylobacter_luteus_IMV-B-3098	pmoB1	pmo/amo	pmoB	1245	0.437751004	12.81283422	0.342168675	3.593582888	0.556585367	1.625668449	0.518087419	84.40641711	K10945	methane/ammonia monooxygenase subunit B		"Hamilton, R., Kits, K. D., Ramonovskaya, V. A., Rozova, O. N., Yurimoto, H., Iguchi, H., ... & Knief, C. (2015). Draft genomes of gammaproteobacterial methanotrophs isolated from terrestrial ecosystems. Genome announcements, 3(3)."	0.369409989	93.83957219	0.859148295
2517424835	Isolated	Ia	Ia	Methylobacter_luteus_IMV-B-3098	Ia_Methylobacter_luteus_IMV-B-3098	Methylobacter_luteus_IMV-B-3098	xoxF	xox	xoxF	1854	0.479503776	29.06951872	0.46763754	18.5026738	0.641942008	22.60962567	0.489645844	54.73796791	K14028	methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	EC:1.1.2.7	"Hamilton, R., Kits, K. D., Ramonovskaya, V. A., Rozova, O. N., Yurimoto, H., Iguchi, H., ... & Knief, C. (2015). Draft genomes of gammaproteobacterial methanotrophs isolated from terrestrial ecosystems. Genome announcements, 3(3)."	0.358139107	85.94652406	0.832935254
2517426653	Isolated	Ia	Ia	Methylobacter_luteus_IMV-B-3098	Ia_Methylobacter_luteus_IMV-B-3098	Methylobacter_luteus_IMV-B-3098	mxaF	mxa	mxaF	1812	0.577262693	85.90374332	0.766556291	96.72727273	0.789406821	96.94117647	0.504938858	73.39037433	K14028	methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	EC:1.1.2.7	"Hamilton, R., Kits, K. D., Ramonovskaya, V. A., Rozova, O. N., Yurimoto, H., Iguchi, H., ... & Knief, C. (2015). Draft genomes of gammaproteobacterial methanotrophs isolated from terrestrial ecosystems. Genome announcements, 3(3)."	0.372482843	95.44385027	0.866294928
2517426650	Isolated	Ia	Ia	Methylobacter_luteus_IMV-B-3098	Ia_Methylobacter_luteus_IMV-B-3098	Methylobacter_luteus_IMV-B-3098	mxaI	mxa	mxaI	285	0.505263158	43.89304813	0.642105263	69.41176471	0.735725283	76.87700535	0.531626786	91.87165775	K14029	methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	EC:1.1.2.7	"Hamilton, R., Kits, K. D., Ramonovskaya, V. A., Rozova, O. N., Yurimoto, H., Iguchi, H., ... & Knief, C. (2015). Draft genomes of gammaproteobacterial methanotrophs isolated from terrestrial ecosystems. Genome announcements, 3(3)."	0.356934164	84.62032086	0.830132881
2517427739	Isolated	Ia	Ia	Methylobacter_luteus_IMV-B-3098	Ia_Methylobacter_luteus_IMV-B-3098	Methylobacter_luteus_IMV-B-3098	hao	hao	hao	1710	0.559649123	76.57754011	0.675438596	79.76470588	0.772286896	93.06951872	0.485062331	49.21925134	K10535	hydroxylamine dehydrogenase [EC:1.7.2.6]	EC:1.7.2.6		0.342821987	65.64705882	0.797311752
