# Assembly name:  010_bin_OPU3_Golfo_Dulce
# Organism name:  Methylococcales bacterium OPU3_GD_OMZ (g-proteobacteria)
# Isolate:  OPU3_GD_OMZ
# Taxid:          1920888
# BioSample:      SAMN06045994
# BioProject:     PRJNA328797
# Submitter:      Georgia Institute of Technology
# Date:           2016-12-9
# Assembly type:  n/a
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    MPSY01
# Assembly method: SPAdes v. 3.7.0; Mixbin v. 2.1.1
# Expected final version: yes
# Reference guided assembly: de-novo
# Genome coverage: 71.0x
# Sequencing technology: Illumina MiSeq
# GenBank assembly accession: GCA_001901525.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001901535.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
NODE_1000_length_14469_cov_5.61197_ID_2724666	unplaced-scaffold	na	na	MPSY01000045.1	<>	na	Primary Assembly	14469	na
NODE_1005_length_14395_cov_6.6302_ID_2716682	unplaced-scaffold	na	na	MPSY01000046.1	<>	na	Primary Assembly	14395	na
NODE_1008_length_14387_cov_7.09866_ID_2716160	unplaced-scaffold	na	na	MPSY01000047.1	<>	na	Primary Assembly	14387	na
NODE_1012_length_14338_cov_6.63096_ID_2733067	unplaced-scaffold	na	na	MPSY01000048.1	<>	na	Primary Assembly	14338	na
NODE_10264_length_1854_cov_4.84992_ID_2742645	unplaced-scaffold	na	na	MPSY01000182.1	<>	na	Primary Assembly	1854	na
NODE_1027_length_14052_cov_6.37322_ID_2709798	unplaced-scaffold	na	na	MPSY01000049.1	<>	na	Primary Assembly	14052	na
NODE_1029_length_14042_cov_7.36405_ID_3077982	unplaced-scaffold	na	na	MPSY01000050.1	<>	na	Primary Assembly	14042	na
NODE_1035_length_13998_cov_6.47974_ID_3057094	unplaced-scaffold	na	na	MPSY01000051.1	<>	na	Primary Assembly	13998	na
NODE_104843_length_619_cov_3.38121_ID_2936703	unplaced-scaffold	na	na	MPSY01000295.1	<>	na	Primary Assembly	619	na
NODE_1049_length_13826_cov_6.27122_ID_2769751	unplaced-scaffold	na	na	MPSY01000052.1	<>	na	Primary Assembly	13826	na
NODE_1055_length_13742_cov_5.71126_ID_2716572	unplaced-scaffold	na	na	MPSY01000053.1	<>	na	Primary Assembly	13742	na
NODE_1073_length_13566_cov_4.90896_ID_2727201	unplaced-scaffold	na	na	MPSY01000054.1	<>	na	Primary Assembly	13566	na
NODE_10852_length_1796_cov_4.21884_ID_2744001	unplaced-scaffold	na	na	MPSY01000183.1	<>	na	Primary Assembly	1796	na
NODE_10856_length_1796_cov_5.43251_ID_2744009	unplaced-scaffold	na	na	MPSY01000184.1	<>	na	Primary Assembly	1796	na
NODE_108971_length_600_cov_8.23303_ID_2945026	unplaced-scaffold	na	na	MPSY01000296.1	<>	na	Primary Assembly	600	na
NODE_10898_length_1792_cov_7.46978_ID_2749011	unplaced-scaffold	na	na	MPSY01000185.1	<>	na	Primary Assembly	1792	na
NODE_109281_length_586_cov_6.64783_ID_2945616	unplaced-scaffold	na	na	MPSY01000297.1	<>	na	Primary Assembly	586	na
NODE_109523_length_573_cov_4.29923_ID_2946074	unplaced-scaffold	na	na	MPSY01000298.1	<>	na	Primary Assembly	573	na
NODE_10960_length_1785_cov_7.90925_ID_2744256	unplaced-scaffold	na	na	MPSY01000186.1	<>	na	Primary Assembly	1785	na
NODE_110387_length_537_cov_5.65975_ID_2947866	unplaced-scaffold	na	na	MPSY01000299.1	<>	na	Primary Assembly	537	na
NODE_110412_length_536_cov_14.605_ID_2947920	unplaced-scaffold	na	na	MPSY01000300.1	<>	na	Primary Assembly	536	na
NODE_110435_length_536_cov_6.57173_ID_2947966	unplaced-scaffold	na	na	MPSY01000301.1	<>	na	Primary Assembly	536	na
NODE_1107_length_13117_cov_5.4523_ID_2723373	unplaced-scaffold	na	na	MPSY01000055.1	<>	na	Primary Assembly	13117	na
NODE_1109_length_13107_cov_6.76364_ID_2732924	unplaced-scaffold	na	na	MPSY01000056.1	<>	na	Primary Assembly	13107	na
NODE_111154_length_509_cov_2.20485_ID_2949412	unplaced-scaffold	na	na	MPSY01000302.1	<>	na	Primary Assembly	509	na
NODE_111159_length_509_cov_6.2467_ID_2949422	unplaced-scaffold	na	na	MPSY01000303.1	<>	na	Primary Assembly	509	na
NODE_111160_length_509_cov_3.89207_ID_2949424	unplaced-scaffold	na	na	MPSY01000304.1	<>	na	Primary Assembly	509	na
