Oxidation	Sample	Group	Genome_Name_spaced	Genome_Name_Updated	Genome_Size	GC	Genome_Reference	taxon_oid	Domain	Phylum	Class	Order	Family	Genus	Species	Strain	IMG_Genome_ID_	NCBI_Taxon_ID	Culture_Type	Cultured	Ecosystem	Ecosystem_Category	Ecosystem_Subtype	Ecosystem_Type	Energy_Source	Geographic_Location	Habitat	Metabolism	Motility	Temperature_Range	Gene_Count	CDS_Count	RNA_Count	16S_rRNA_Count	tRNA_Count	Status	Study_Name	Sequencing_Center	Latitude_exact	Longitude_exact	Country	Ref_location	Latitude_country	Longitude_country
Methane	isolate	Ia	Methylobacter luteus IMV-B-3098	Methylobacter_luteus_IMV-B-3098	5029135	0.51	"Hamilton, R., Kits, K. D., Ramonovskaya, V. A., Rozova, O. N., Yurimoto, H., Iguchi, H., ... & Knief, C. (2015). Draft genomes of gammaproteobacterial methanotrophs isolated from terrestrial ecosystems. Genome announcements, 3(3)."	2517287033	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	Methylobacter luteus	IMV-B-3098	2517287033	1095552	Isolate	Yes											4675	4595	80	3	49	Permanent Draft	Revising methanotrophy: a comprehensive genomic probing of the unexpected genetic and metabolic diversity of aerobic methane consuming bacteria.	DOE Joint Genome Institute (JGI)	NA	NA	NA	NA	NA	NA
Methane	isolate	Ia	Methylobacter marinus A45	Methylobacter_marinus_A45	4988792	0.53	"Flynn, J. D., Hirayama, H., Sakai, Y., Dunfield, P. F., Klotz, M. G., Knief, C., ... & Murrell, J. C. (2016). Draft genome sequences of gammaproteobacterial methanotrophs isolated from marine ecosystems. Genome announcements, 4(1), e01629-15."	2517287034	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	Methylobacter marinus	A45	2517287034	674036	Isolate	Yes					Methylotroph				Motile	Mesophile	4610	4523	87	3	50	Permanent Draft	Whole Genome Sequencing of Methanotrophic Bacteria from Diverse Environments	DOE Joint Genome Institute (JGI)	34.05	-118.25	USA	"Los Angeles, CA - Literature"	34.05	-118.25
Methane	isolate	Ia	Methylobacter sp. BBA5.1	Methylobacter_sp._BBA5.1	5074273	0.52	"Flynn, J. D., Hirayama, H., Sakai, Y., Dunfield, P. F., Klotz, M. G., Knief, C., ... & Murrell, J. C. (2016). Draft genome sequences of gammaproteobacterial methanotrophs isolated from marine ecosystems. Genome announcements, 4(1), e01629-15."	2579779162	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	Methylobacter sp. BBA5.1	BBA5.1	2579779162	1495064	Isolate	Yes											4644	4573	71	2	43	Permanent Draft	Revising methanotrophy: a comprehensive genomic probing of the unexpected genetic and metabolic diversity of aerobic methane consuming bacteria.	DOE Joint Genome Institute (JGI)	33.641419	-117.885532	USA	"Newport, Bay Estuary - Literature"	33.641419	-117.885532
Methane	isolate	Ia	Methylobacter tundripaludum 31/32	Methylobacter_tundripaludum_31-32	5047546	0.49	"Kalyuzhnaya, M. G., Lamb, A. E., McTaggart, T. L., Oshkin, I. Y., Shapiro, N., Woyke, T., & Chistoserdova, L. (2015). Draft genome sequences of gammaproteobacterial methanotrophs isolated from Lake Washington sediment. Genome announcements, 3(2), e00103-15."	2574179704	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	Methylobacter tundripaludum	31/32	2574179704	1408451	Isolate	Yes	Environmental	Aquatic	Lentic	Freshwater							4669	4604	65	3	45	Permanent Draft	Genomes of fifty methylotrophs isolated from Lake Washington	DOE Joint Genome Institute (JGI)	47.616667	-122.264722	USA	Lake Washington Sediment - Literature	47.616667	-122.264722
Methane	isolate	Ia	Methylobacter tundripaludum SV96	Methylobacter_tundripaludum_SV96	4978193	0.49	"Svenning, M. M., Hestnes, A. G., Wartiainen, I., Stein, L. Y., Klotz, M. G., Kalyuzhnaya, M. G., ... & Médigue, C. (2011). Genome sequence of the Arctic methanotroph Methylobacter tundripaludum SV96. Journal of bacteriology, 193(22), 6418-6419."	648276688	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	Methylobacter tundripaludum	SV96	648276688	697282	Isolate	Yes	Environmental	Terrestrial	Unclassified	Soil	Methylotroph	"near Ny-Alesund, Svalbard, Norway"	"Soil, Wetland"		Nonmotile	Mesophile	4653	4608	45	1	41	Permanent Draft	Whole Genome Sequencing of Methanotrophic Bacteria from Diverse Environments	DOE Joint Genome Institute (JGI)	78.924	11.955	Norway	IMG/JGI	78.924	11.955
Methane	isolate	Ia	Methylobacter whittenburyi ACM 3310	Methylobacter_whittenburyi_UCM-B-3033	5440158	0.52	"Hamilton, R., Kits, K. D., Ramonovskaya, V. A., Rozova, O. N., Yurimoto, H., Iguchi, H., ... & Knief, C. (2015). Draft genomes of gammaproteobacterial methanotrophs isolated from terrestrial ecosystems. Genome announcements, 3(3)."	2582581870	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter	Methylobacter whittenburyi	ACM 3310	2582581870	39770	Isolate	Yes											5054	4949	105	5	56	Permanent Draft	Revising methanotrophy: a comprehensive genomic probing of the unexpected genetic and metabolic diversity of aerobic methane consuming bacteria.	DOE Joint Genome Institute (JGI)	NA	NA	NA	NA	NA	NA
Methane	isolate	Ia	Methyloglobulus morosus KoM1	Methyloglobulus_morosus_KoM1	4142568	0.47	"Poehlein, A., Deutzmann, J. S., Daniel, R., & Simeonova, D. D. (2013). Draft genome sequence of the methanotrophic Gammaproteobacterium Methyloglobulus morosus DSM 22980 strain KoM1. Genome announcements, 1(6), e01078-13."	2528768019	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloglobulus	Methyloglobulus morosus	KoM1	2528768019	1116472	Isolate	Yes	Environmental	Aquatic	Lentic	Freshwater	Methanotroph	Lake Constance	Fresh water		Nonmotile	Psychrotolerant	3946	3886	60	0	37	Permanent Draft	MKO	Goettingen Genomics Laboratory	47.659375	9.194813	Germany	IMG/JGI	47.659375	9.194813
Methane	isolate	Ia	Methylomarinum vadi IT-4	Methylomarinum_vadi_IT-4	4335162	0.51	"Flynn, J. D., Hirayama, H., Sakai, Y., Dunfield, P. F., Klotz, M. G., Knief, C., ... & Murrell, J. C. (2016). Draft genome sequences of gammaproteobacterial methanotrophs isolated from marine ecosystems. Genome announcements, 4(1), e01629-15."	2574179779	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomarinum	Methylomarinum vadi	IT-4	2574179779	438855	Isolate	Yes						"Taketomi Island, Okinawa, Japan"	Hydrothermal sediment				4054	3979	75	3	48	Permanent Draft	Revising methanotrophy: a comprehensive genomic probing of the unexpected genetic and metabolic diversity of aerobic methane consuming bacteria.	DOE Joint Genome Institute (JGI)	24.333333	124.083333	Japan	"Taketomi Island, Okinawa, Japan - Literature"	24.333333	124.083333
Methane	isolate	Ia	Methylomicrobium agile A30	Methylomicrobium_agile_A30	4526071	0.56	"Hamilton, R., Kits, K. D., Ramonovskaya, V. A., Rozova, O. N., Yurimoto, H., Iguchi, H., ... & Knief, C. (2015). Draft genomes of gammaproteobacterial methanotrophs isolated from terrestrial ecosystems. Genome announcements, 3(3)."	2574179740	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomicrobium	Methylomicrobium agile	ATCC 35068	2574179740	39774	Isolate	Yes	Engineered	Lab synthesis	Unclassified	Unclassified				Methane oxidation	Motile	Mesophile	4099	4018	81	3	50	Permanent Draft	Revising methanotrophy: a comprehensive genomic probing of the unexpected genetic and metabolic diversity of aerobic methane consuming bacteria.	DOE Joint Genome Institute (JGI)	NA	NA	NA	NA	NA	NA
Methane	isolate	Ia	Methylomicrobium album BG8	Methylomicrobium_album_BG8	4493444	0.56	"Kits, K. D., Kalyuzhnaya, M. G., Klotz, M. G., Jetten, M. S., den Camp, H. J. O., Vuilleumier, S., ... & Cheng, J. F. (2013). Genome sequence of the obligate gammaproteobacterial methanotroph Methylomicrobium album strain BG8. Genome announcements, 1(2), e00170-13."	2508501010	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomicrobium	Methylomicrobium album	BG8	2508501010	686340	Isolate	Yes	Environmental	Aquatic	Unclassified	Freshwater	Methanotroph		"Aquatic, Soil"	"Hydrocarbon degrading, Methane oxidation"	Motile	Mesophile	4040	3984	56	2	42	Permanent Draft	"CSP_786864, Methanotrophic Bacteria"	DOE Joint Genome Institute (JGI)	NA	NA	United Kingdom	IMG/JGI country	55	-3
